N=  43287 | sifted (ideal) ~ 4805.7 matched ~ 4093.6 match_frac=0.8518 | noisy match_frac=0.8168 | mean S ideal=2.8249 noisy=2.5425
N=  81113 | sifted (ideal) ~ 9015.1 matched ~ 7703.6 match_frac=0.8545 | noisy match_frac=0.8187 | mean S ideal=2.8290 noisy=2.5510
N= 151991 | sifted (ideal) ~ 16881.2 matched ~ 14408.2 match_frac=0.8535 | noisy match_frac=0.8179 | mean S ideal=2.8286 noisy=2.5472
N= 284803 | sifted (ideal) ~ 31686.2 matched ~ 27044.5 match_frac=0.8535 | noisy match_frac=0.8186 | mean S ideal=2.8258 noisy=2.5457
N= 533669 | sifted (ideal) ~ 59279.2 matched ~ 50614.6 match_frac=0.8538 | noisy match_frac=0.8183 | mean S ideal=2.8291 noisy=2.5454
N=1000000 | sifted (ideal) ~ 111060.9 matched ~ 94801.7 match_frac=0.8536 | noisy match_frac=0.8184 | mean S ideal=2.8285 noisy=2.5468

Summary (per N):
 N    sifted_ideal  matched_ideal  match_frac_ideal   sifted_noisy  matched_noisy  match_frac_noisy   K_ideal  K_noisy
  1000         110.1           93.7          0.8513         110.1           90.3           0.8199  +0.3252  -0.1452
  1873         213.1          181.6          0.8522         213.1          173.4           0.8137  +0.3467  -0.2011
  3511         387.7          328.9          0.8483         387.7          317.4           0.8188  +0.3815  -0.1526
  6579         736.3          629.9          0.8554         736.3          601.1           0.8163  +0.4038  -0.1568
 12328        1375.7         1171.8          0.8518        1375.7         1124.2           0.8172  +0.3698  -0.1774
 23101        2558.5         2178.5          0.8515        2558.5         2094.2           0.8185  +0.3717  -0.1737
 43287        4805.7         4093.6          0.8518        4805.7         3925.2           0.8168  +0.3809  -0.1796
 81113        9015.1         7703.6          0.8545        9015.1         7380.5           0.8187  +0.4016  -0.1648
151991       16881.2        14408.2          0.8535       16881.2        13807.4           0.8179  +0.3990  -0.1713
284803       31686.2        27044.5          0.8535       31686.2        25937.4           0.8186  +0.3885  -0.1717
533669       59279.2        50614.6          0.8538       59279.2        48505.8           0.8183  +0.3998  -0.1727
1000000      111060.9        94801.7          0.8536      111060.9        90894.9           0.8184  +0.3992  -0.1707
